pc,delta_in,type,delta_out
140443297308819,288195467560,2,-288195463960
140443297312416,-288195463960,0,32
140443297312448,32,0,2252712
140443297312447,2252712,1,-1864
140443297312454,-1864,2,2272
140443297312471,2272,1,2560
140443297312481,2560,2,-16
140443297312488,-16,2,-2255600
140443297312512,-2255600,0,91
140443297312603,91,0,2255685
140443297312587,2255685,2,-2254864
140443297313424,-2254864,0,144
140443297313568,144,0,2255208
140443297313587,2255208,2,-3520
140443297312595,-3520,1,128
140443297312595,128,1,3088
140443297312587,3088,2,-2255816
140443297312656,-2255816,0,48
140443297312704,48,0,64
140443297312768,64,0,64
140443297312832,64,0,2255584
140443297312872,2255584,1,-2255518
140443297312898,-2255518,0,222
140443297313120,222,0,32
140443297313152,32,0,64
140443297313216,64,0,-6080
140443297313248,-6080,1,6144
140443297313280,6144,0,2250440
140443297313278,2250440,2,-2256456
140443297313254,-2256456,1,2256640
140443297313278,2256640,2,-2256512
140443297313264,-2256512,1,2256672
140443297313278,2256672,2,120
140443297313278,120,2,-2256664
140443297313248,-2256664,1,2256776
140443297313278,2256776,2,-2256648
140443297313254,-2256648,1,2256816
140443297313278,2256816,2,112
140443297313278,112,2,-2256800
140443297313264,-2256800,1,2256912
140443297313278,2256912,2,112
140443297313278,112,2,-2256896
140443297313248,-2256896,1,2257056
140443297313278,2257056,2,-2256928
140443297313254,-2256928,1,2257048
140443297313278,2257048,2,-2251736
140443297313344,-2251736,0,-7516
140443297313369,-7516,1,128636
140443297313407,128636,1,-120960
140443297313504,-120960,0,2252024
140443297313508,2252024,2,-2259772
140443297313369,-2259772,1,-72
140443297313369,-72,1,552
140443297313369,552,1,1924
140443297313504,1924,1,-2572
140443297313369,-2572,1,360
140443297313369,360,1,144
140443297313369,144,1,6868
140443297312960,6868,0,2255940
140443297312956,2255940,1,288193207348
140443297312963,288193207348,2,-288195422616
140443297353632,-288195422616,0,-48344
140443297353648,-48344,1,48376
140443297353664,48376,0,-40640
140443297313024,-40640,0,100368
140443297413392,100368,0,48
140443297413440,48,0,2156504
140443297413443,2156504,2,288193206504
140443297413463,288193206504,1,128
140443297413463,128,1,-288193213120
140443297413495,-288193213120,2,-2149952
140443297413504,-2149952,0,288195362672
140443297413502,288195362672,2,-288193212480
140443297413516,-288193212480,1,288193212422
140443297413557,288193212422,2,-288195362550
140443297413568,-288195362550,0,2149872
140443297413620,2149872,1,-2149808
140443297413632,-2149808,0,23124
140443297413674,23124,1,-22876
140443297413880,-22876,0,288195362824
140443297413880,288195362824,1,-288195362816
140443297413888,-288195362816,0,22800
140443297413674,22800,1,-22576
140443297414112,-22576,0,22536
140443297413674,22536,1,-22424
140443297414224,-22424,0,-152
