pc,delta_in,type,delta_out
139859331854483,872734425640,2,-872734422040
139859331858080,-872734422040,0,32
139859331858112,32,0,2252712
139859331858111,2252712,1,-1864
139859331858118,-1864,2,2272
139859331858135,2272,1,2560
139859331858145,2560,2,-16
139859331858152,-16,2,-2255600
139859331858176,-2255600,0,91
139859331858267,91,0,2255685
139859331858251,2255685,2,-80
139859331858251,-80,2,-3016
139859331858259,-3016,1,-2251768
139859331859088,-2251768,0,144
139859331859232,144,0,2255208
139859331859251,2255208,2,-3520
139859331858259,-3520,1,3080
139859331858251,3080,2,-3016
139859331858259,-3016,1,64
139859331858259,64,1,3088
139859331858251,3088,2,96
139859331858251,96,2,-3120
139859331858259,-3120,1,-2252792
139859331858320,-2252792,0,48
139859331858368,48,0,64
139859331858432,64,0,64
139859331858496,64,0,2255584
139859331858536,2255584,1,-2255518
139859331858562,-2255518,0,222
139859331858784,222,0,32
139859331858816,32,0,64
139859331858880,64,0,-6080
139859331858912,-6080,1,6144
139859331858944,6144,0,2250440
139859331858942,2250440,2,-2256520
139859331858928,-2256520,1,64
139859331858918,64,1,2256512
139859331858942,2256512,2,-2256448
139859331858912,-2256448,1,2256576
139859331858942,2256576,2,-2256512
139859331858928,-2256512,1,2256624
139859331858942,2256624,2,48
139859331858942,48,2,-2256608
139859331858918,-2256608,1,2256664
139859331858942,2256664,2,64
139859331858942,64,2,-2256664
139859331858912,-2256664,1,2256720
139859331858942,2256720,2,56
139859331858942,56,2,-2256712
139859331858928,-2256712,1,2256768
139859331858942,2256768,2,-2256704
139859331858918,-2256704,1,2256816
139859331858942,2256816,2,56
139859331858942,56,2,-2256808
139859331858912,-2256808,1,2256864
139859331858942,2256864,2,56
139859331858942,56,2,-2256856
139859331858928,-2256856,1,2256912
139859331858942,2256912,2,48
139859331858942,48,2,-2256896
139859331858918,-2256896,1,2256960
139859331858942,2256960,2,-2256896
139859331858912,-2256896,1,2257008
139859331858942,2257008,2,-2256944
139859331858928,-2256944,1,2256992
139859331858942,2256992,2,64
139859331858942,64,2,-2256992
139859331858918,-2256992,1,2257048
139859331858942,2257048,2,-2251736
139859331859008,-2251736,0,-7516
139859331859033,-7516,1,128636
139859331859071,128636,1,-120960
139859331859168,-120960,0,2252024
139859331859172,2252024,2,-2257424
139859331858992,-2257424,1,-2348
139859331859033,-2348,1,-72
139859331859033,-72,1,552
139859331859033,552,1,4
139859331859038,4,1,1920
139859331859168,1920,1,-2572
139859331859033,-2572,1,360
139859331859033,360,1,2276
139859331858992,2276,1,-2132
139859331859033,-2132,1,2259540
139859331859172,2259540,2,-2252672
139859331858624,-2252672,0,2255940
139859331858620,2255940,1,872732165428
139859331858627,872732165428,2,-872734380696
139859331899296,-872734380696,0,-48344
139859331899312,-48344,1,2263572
139859331899314,2263572,2,-2215196
139859331899328,-2215196,0,2215296
139859331858681,2215296,2,-2255936
139859331858688,-2255936,0,100368
139859331959056,100368,0,872734321072
139859331959073,872734321072,1,-872732171136
139859331959087,-872732171136,2,-2149888
139859331959104,-2149888,0,2156504
139859331959107,2156504,2,872732164584
139859331959127,872732164584,1,64
139859331959127,64,1,64
139859331959127,64,1,64
139859331959127,64,1,64
139859331959127,64,1,64
139859331959127,64,1,-872732171392
139859331959159,-872732171392,2,-2149952
139859331959168,-2149952,0,872734320752
139859331959166,872734320752,2,-872732170560
139859331959180,-872732170560,1,872732170502
139859331959221,872732170502,2,-872734320630
139859331959232,-872734320630,0,2149872
139859331959284,2149872,1,-2149808
139859331959296,-2149808,0,23124
139859331959338,23124,1,-22876
139859331959544,-22876,0,8
139859331959552,8,0,22800
139859331959338,22800,1,-22576
139859331959776,-22576,0,22536
139859331959338,22536,1,-22424
139859331959888,-22424,0,-152
139859331959736,-152,0,872734320840
139859331959736,872734320840,1,-872734321216
139859331959360,-872734321216,0,576
139859331959936,576,0,872734320712
139859331959360,872734320712,1,-872734320792
139859331959856,-872734320792,0,872734320856
139859331959360,872734320856,1,-872734321048
139859331959664,-872734321048,0,872734321104
139859331959624,872734321104,1,-872734319773
139859331960995,-872734319773,0,-1571
139859331959424,-1571,0,-7680
139859331951744,-7680,0,872734328056
139859331951756,872734328056,2,-872734327992
139859331951808,-872734327992,0,872734327928
139859331951813,872734327928,2,8478
139859331951849,8478,1,-872734336342
139859331951872,-872734336342,0,64
139859331951936,64,0,64
139859331952000,64,0,96
139859331952096,96,0,34569
139859331952030,34569,1,44
139859331952030,44,1,107
139859331952030,107,1,77
139859331952030,77,1,82
139859331952030,82,1,73
139859331952030,73,1,61
139859331952030,61,1,872734302640
139859331951849,872734302640,1,50
139859331951849,50,1,57
139859331951896,57,1,66
139859331951849,66,1,62
139859331951896,62,1,78
139859331951849,78,1,130
139859331951849,130,1,54
139859331951849,54,1,64
139859331951849,64,1,65
139859331951849,65,1,89
139859331951849,89,1,32
139859331951896,32,1,64
139859331951896,64,1,133
139859331951849,133,1,59
139859331951896,59,1,101
139859331951849,101,1,32
139859331951849,32,1,59
139859331951896,59,1,117
139859331951849,117,1,11
139859331951896,11,1,340
139859331951849,340,1,44
139859331951896,44,1,68
139859331951849,68,1,60
139859331951896,60,1,-872734339456
139859331952128,-872734339456,0,12528
139859331964656,12528,0,16
139859331964672,16,0,2150896
139859331964676,2150896,2,-2155568
139859331960000,-2155568,0,736
139859331960736,736,0,-2320
139859331958416,-2320,0,48
139859331958464,48,0,64
139859331958528,64,0,64
139859331958592,64,0,312
139859331958904,312,0,8
139859331958912,8,0,2150292
139859331958912,2150292,1,-2150548
139859331958656,-2150548,0,2112
139859331960768,2112,0,110
139859331960878,110,0,18
139859331960896,18,0,21604
139859331960917,21604,1,-22436
139859331960064,-22436,0,64
139859331960128,64,0,-6848
139859331953280,-6848,0,64
139859331953344,64,0,6848
139859331960192,6848,0,320
139859331960512,320,0,96
139859331960608,96,0,17408
